Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
1.L.1,Lang/Arts,1,L,,1,,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
1.L.1a,Lang/Arts,1,L,,1,a,Language,Conventions of Standard English,Print all upper- and lowercase letters.
1.L.1b,Lang/Arts,1,L,,1,b,Language,Conventions of Standard English,"Use common, proper, and possessive nouns."
1.L.1c,Lang/Arts,1,L,,1,c,Language,Conventions of Standard English,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
1.L.1d,Lang/Arts,1,L,,1,d,Language,Conventions of Standard English,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
1.L.1e,Lang/Arts,1,L,,1,e,Language,Conventions of Standard English,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
1.L.1f,Lang/Arts,1,L,,1,f,Language,Conventions of Standard English,Use frequently occurring adjectives.
1.L.1g,Lang/Arts,1,L,,1,g,Language,Conventions of Standard English,"Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
1.L.1h,Lang/Arts,1,L,,1,h,Language,Conventions of Standard English,"Use determiners (e.g., articles, demonstratives)."
1.L.1i,Lang/Arts,1,L,,1,i,Language Standards,Conventions of Standard English,"Use frequently occurring prepositions (e.g., during, beyond, toward)."
1.L.1j,Lang/Arts,1,L,,1,j,Language Standards,Conventions of Standard English,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
1.L.2,Lang/Arts,1,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
1.L.2a,Lang/Arts,1,L,,2,a,Language Standards,Conventions of Standard English,Capitalize dates and names of people.
1.L.2b,Lang/Arts,1,L,,2,b,Language Standards,Conventions of Standard English,Use end punctuation for sentences.
1.L.2c,Lang/Arts,1,L,,2,c,Language Standards,Conventions of Standard English,Use commas in dates and to separate single words in a series.
