Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Sub Category,Description (NEW)
11-12.L.1,Lang/Arts,11-12,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
11-12.L.1a,Lang/Arts,11-12,L,,1,a,Language Standards,Conventions of Standard English,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested."
11-12.L.1b,Lang/Arts,11-12,L,,1,b,Language Standards,Conventions of Standard English,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster’s Dictionary of English Usage, Garner’s Modern American English) as needed."
11-12.L.2,Lang/Arts,11-12,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
11-12.L.2a,Lang/Arts,11-12,L,,2,a,Language Standards,Conventions of Standard English,Observe hyphenation conventions.
11-12.L.2b,Lang/Arts,11-12,L,,2,b,Language Standards,Conventions of Standard English,Spell correctly.
11-12.L.3,Lang/Arts,11-12,L,,3,,Language Standards,Knowledge of Language,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening."
11-12.L.3a,Lang/Arts,11-12,L,,3,a,Language Standards,Knowledge of Language,"Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading."
11-12.L.4,Lang/Arts,11-12,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies."
11-12.L.4a,Lang/Arts,11-12,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
11-12.L.4b,Lang/Arts,11-12,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable)."
11-12.L.4c,Lang/Arts,11-12,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage."
11-12.L.4d,Lang/Arts,11-12,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
11-12.L.5,Lang/Arts,11-12,L,,5,,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
11-12.L.5a,Lang/Arts,11-12,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text."
11-12.L.5b,Lang/Arts,11-12,L,,5,b,Language Standards,Vocabulary Acquisition and Use,Analyze nuances in the meaning of words with similar denotations.
11-12.L.6,Lang/Arts,11-12,L,,6,,Language Standards,Vocabulary Acquisition and Use,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression."
11-12.RI.1,Lang/Arts,11-12,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
11-12.RI.2,Lang/Arts,11-12,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,"Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text."
