Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
6-8.RH.1,Lang/Arts,6-8,RH,,1,,Reading Literacy in History/Social Studies,Key Ideas and Details,Cite specific textual evidence to support analysis of primary and secondary sources.
6-8.RH.2,Lang/Arts,6-8,RH,,2,,Reading Literacy in History/Social Studies,Key Ideas and Details,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions.
6-8.RH.3,Lang/Arts,6-8,RH,,3,,Reading Literacy in History/Social Studies,Key Ideas and Details,"Identify key steps in a text's description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered)."
6-8.RH.4,Lang/Arts,6-8,RH,,4,,Reading Literacy in History/Social Studies,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including vocabulary specific to domains related to history/social studies."
6-8.RH.5,Lang/Arts,6-8,RH,,5,,Reading Literacy in History/Social Studies,Craft and Structure,"Describe how a text presents information (e.g., sequentially, comparatively, causally)."
6-8.RH.6,Lang/Arts,6-8,RH,,6,,Reading Literacy in History/Social Studies,Craft and Structure,"Identify aspects of a text that reveal an author's point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts)."
6-8.RH.7,Lang/Arts,6-8,RH,,7,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in pprint and digital texts."
6-8.RH.8,Lang/Arts,6-8,RH,,8,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,"Distinguish among fact, opinion, and reasoned judgment in a text."
6-8.RH.9,Lang/Arts,6-8,RH,,9,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,Analyze the relationship between a primary and secondary source on the same topic.
6-8.RH.10,Lang/Arts,6-8,RH,,10,,Reading Literacy in History/Social Studies,Range of Reading and Level of Text Complexity,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6-8 text complexity band independently and proficiently."
6-8.RST.1,Lang/Arts,6-8,RST,,1,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,Cite specific textual evidence to support analysis of science and technical texts.
