Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
K.L.1,Lang/Arts,K,L,,1,,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
K.L.1a,Lang/Arts,K,L,,1,a,Language Standards,Conventions of Standard English,Print many upper- and lowercase letters.
K.L.1b,Lang/Arts,K,L,,1,b,Language Standards,Conventions of Standard English,Use frequently occurring nouns and verbs.
K.L.1c,Lang/Arts,K,L,,1,c,Language Standards,Conventions of Standard English,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
K.L.1d,Lang/Arts,K,L,,1,d,Language Standards,Conventions of Standard English,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
K.L.1e,Lang/Arts,K,L,,1,e,Language Standards,Conventions of Standard English,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
K.L.1f,Lang/Arts,K,L,,1,f,Language Standards,Conventions of Standard English,Produce and expand complete sentences in shared language activities.
K.L.2,Lang/Arts,K,L,,2,,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
K.L.2a,Lang/Arts,K,L,,2,a,Language Standards,Conventions of Standard English,Capitalize the first word in a sentence and the pronoun I.
K.L.2b,Lang/Arts,K,L,,2,b,Language Standards,Conventions of Standard English,Recognize and name end punctuation.
K.L.2c,Lang/Arts,K,L,,2,c,Language Standards,Conventions of Standard English,Write a letter or letters for most consonant and short-vowel sounds (phonemes).
K.L.2d,Lang/Arts,K,L,,2,d,Language Standards,Conventions of Standard English,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
K.L.4,Lang/Arts,K,L,,4,,Language Standards,Vocabulary Acquisition and Use,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
K.L.4a,Lang/Arts,K,L,,4,a,Language Standards,Vocabulary Acquisition and Use,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
K.L.4b,Lang/Arts,K,L,,4,b,Language Standards,Vocabulary Acquisition and Use,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
K.L.5,Lang/Arts,K,L,,5,,Language Standards,Vocabulary Acquisition and Use,"With guidance and support from adults, explore word relationships and nuances in word meanings."
K.L.5a,Lang/Arts,K,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
K.L.5b,Lang/Arts,K,L,,5,b,Language Standards,Vocabulary Acquisition and Use,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
K.L.5c,Lang/Arts,K,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
K.L.5d,Lang/Arts,K,L,,5,d,Language Standards,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
K.L.6,Lang/Arts,K,L,,6,,Language Standards,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
K.RF.1,Lang/Arts,K,RF,,1,,Reading Standards: Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.
K.RF.1a,Lang/Arts,K,RF,,1,a,Reading Standards: Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page."
K.RF.1b,Lang/Arts,K,RF,,1,b,Reading Standards: Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.
K.RF.1c,Lang/Arts,K,RF,,1,c,Reading Standards: Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.
K.RF.1d,Lang/Arts,K,RF,,1,d,Reading Standards: Foundational Skills,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.
K.RF.2,Lang/Arts,K,RF,,2,,Reading Standards: Foundational Skills,Phonological Awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
K.RF.2a,Lang/Arts,K,RF,,2,a,Reading Standards: Foundational Skills,Phonological Awareness,Recognize and produce rhyming words.
K.RF.2b,Lang/Arts,K,RF,,2,b,Reading Standards: Foundational Skills,Phonological Awareness,"Count, pronounce, blend, and segment syllables in spoken words."
K.RF.2c,Lang/Arts,K,RF,,2,c,Reading Standards: Foundational Skills,Phonological Awareness,Blend and segment onsets and rimes of single-syllable spoken words.
K.RF.2d,Lang/Arts,K,RF,,2,d,Reading Standards: Foundational Skills,Phonological Awareness,"d. Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.*(This does not include CVCs ending with /l/, /r/,or /x/.)"
K.RF.2e,Lang/Arts,K,RF,,2,e,Reading Standards: Foundational Skills,Phonological Awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
K.RF.3,Lang/Arts,K,RF,,3,,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
K.RF.3a,Lang/Arts,K,RF,,3,a,Reading Standards: Foundational Skills,Phonics and Word Recognition,Demonstrate basic knowledge of letter-sound correspondences by producing the primary or most frequent sound for each consonant.
K.RF.3b,Lang/Arts,K,RF,,3,b,Reading Standards: Foundational Skills,Phonics and Word Recognition,Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.
K.RF.3c,Lang/Arts,K,RF,,3,c,Reading Standards: Foundational Skills,Phonics and Word Recognition,"Read common high-frequency words by sight. (e.g., the, of, to, you, she, my, is, are, do, does)."
K.RF.3d,Lang/Arts,K,RF,,3,d,Reading Standards: Foundational Skills,Phonics and Word Recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
K.RF.4,Lang/Arts,K,RF,,4,,Reading Standards: Foundational Skills,Phonics and Word Recognition,Read emergent-reader texts with purpose and understanding.
K.RI.1,Lang/Arts,K,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K.RI.2,Lang/Arts,K,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, identify the main topic and retell key details of a text."
K.RI.3,Lang/Arts,K,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
K.RI.4,Lang/Arts,K,RI,,4,,Reading Standards for Informational Text,Craft and Structure,"With prompting and support, ask and answer questions about unknown words in a text."
K.RI.5,Lang/Arts,K,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Identify the front cover, back cover, and title page of a book."
K.RI.6,Lang/Arts,K,RI,,6,,Reading Standards for Informational Text,Craft and Structure,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
K.RI.7,Lang/Arts,K,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
K.RI.8,Lang/Arts,K,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, identify the reasons an author gives to support points in a text."
K.RI.9,Lang/Arts,K,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
K.RI.10,Lang/Arts,K,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
K.RL.1,Lang/Arts,K,RL,,1,,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K.RL.2,Lang/Arts,K,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, retell familiar stories, including key details."
K.RL.3,Lang/Arts,K,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, identify characters, settings, and major events in a story."
K.RL.4,Lang/Arts,K,RL,,4,,Reading Standards for Literature,Craft and Structure,Ask and answer questions about unknown words in a text.
K.RL.5,Lang/Arts,K,RL,,5,,Reading Standards for Literature,Craft and Structure,"Recognize common types of texts (e.g., storybooks, poems)."
K.RL.6,Lang/Arts,K,RL,,6,,Reading Standards for Literature,Craft and Structure,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
K.RL.7,Lang/Arts,K,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
K.RL.9,Lang/Arts,K,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
K.RL.10,Lang/Arts,K,RL,,10,,Reading Standards for Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
K.SL.1,Lang/Arts,K,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
K.SL.1a,Lang/Arts,K,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
K.SL.1b,Lang/Arts,K,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,Continue a conversation through multiple exchanges.
K.SL.2,Lang/Arts,K,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
K.SL.3,Lang/Arts,K,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
K.SL.4,Lang/Arts,K,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
K.SL.5,Lang/Arts,K,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.
K.SL.6,Lang/Arts,K,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Speak audibly and express thoughts, feelings, and ideas clearly."
K.W.1,Lang/Arts,K,W,,1,,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is . . .)"
K.W.2,Lang/Arts,K,W,,2,,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
K.W.3,Lang/Arts,K,W,,3,,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
K.W.5,Lang/Arts,K,W,,5,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
K.W.6,Lang/Arts,K,W,,6,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
K.W.7,Lang/Arts,K,W,,7,,Writing Standards,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
K.W.8,Lang/Arts,K,W,,8,,Writing Standards,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
