Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
5.OA.1,Math,5,OA,,Write and interpret numerical expressions.,1,,Operations and Algebraic Thinking,,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols."
5.OA.2,Math,5,OA,,Write and interpret numerical expressions.,2,,Operations and Algebraic Thinking,,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. For example, express the calculation ""add 8 and 7, then multiply by 2"" as 2 _ (8 + 7). Recognize that 3 _ (18932 + 921) is three times as large as 18932 + 921, without having to calculate the indicated sum or product."
5.OA.3,Math,5,OA,,Analyze patterns and relationships.,3,,Operations and Algebraic Thinking,,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule ""Add 3"" and the starting number 0, and given the rule ""Add 6"" and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so."
5.NBT.1,Math,5,NBT,,Understand the place value system.,1,,Number and Operations in Base Ten,,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left."
5.NBT.2,Math,5,NBT,,Understand the place value system.,2,,Number and Operations in Base Ten,,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole number exponents to denote powers of 10."
5.NBT.3,Math,5,NBT,,Understand the place value system.,3,,Number and Operations in Base Ten,,"Read, write, and compare decimals to thousandths."
5.NBT.3a,Math,5,NBT,,Understand the place value system.,3,a,Number and Operations in Base Ten,,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 _ 100 + 4 _ 10 + 7 _ 1 + 3 _ (1/10) + 9 _ (1/100) + 2 _ (1/1000)."
5.NBT.3b,Math,5,NBT,,Understand the place value system.,3,b,Number and Operations in Base Ten,,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons."
5.NBT.4,Math,5,NBT,,Understand the place value system.,4,,Number and Operations in Base Ten,,Use place value understanding to round decimals to any place.
5.NBT.5,Math,5,NBT,,Perform operations with multi-digit whole numbers and with decimals to hundredths.,5,,Number and Operations in Base Ten,,Fluently multiply multi-digit whole numbers using the standard algorithm.
5.NBT.6,Math,5,NBT,,Perform operations with multi-digit whole numbers and with decimals to hundredths.,6,,Number and Operations in Base Ten,,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
5.NBT.7,Math,5,NBT,,Perform operations with multi-digit whole numbers and with decimals to hundredths.,7,,Number and Operations in Base Ten,,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
5.NF.1,Math,5,NF,,Use equivalent fractions as a strategy to add and subtract fractions.,1,,Number and Operations--Fractions,,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)"
5.NF.2,Math,5,NF,,Use equivalent fractions as a strategy to add and subtract fractions.,2,,Number and Operations--Fractions,,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers. For example, recognize an incorrect result 2/5 + 1/2 = 3/7 by observing that 3/7 < 1/2."
5.NF.3,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,3,,Number and Operations--Fractions,,"Interpret a fraction as division of the numerator by the denominator (a/b = a &divide; b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3 and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?"
5.NF.4,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,4,,Number and Operations--Fractions,,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.
5.NF.4a,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,4,a,Number and Operations--Fractions,,"Interpret the product (a/b) _ q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a _ q &divide; b. For example, use a visual fraction model to show (2/3) _ 4 = 8/3, and create a story context for this equation. Do the same with (2/3) _ (4/5) = 8/15. (In general, (a/b) _ (c/d) = ac/bd.)"
5.NF.4b,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,4,b,Number and Operations--Fractions,,"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas."
5.NF.5,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,5,,Number and Operations--Fractions,,Interpret multiplication as scaling (resizing) by
5.NF.5a,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,5,a,Number and Operations--Fractions,,"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication."
5.NF.5b,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,5,b,Number and Operations--Fractions,,Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b-(nxa)/(nxb) to the efect of multiplying a/b by 1.
5.NF.6,Math,5,NF,,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,6,,Number and Operations--Fractions,,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem."
