Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
N.RN.1,Math,9-12,N,RN,Extend the properties of exponents to rational exponents.,1,,Number and Quantity,The Real Number System,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 5^(1/3) to be the cube root of 5 because we want [5^(1/3)]^3 = 5^[(1/3) x 3] to hold, so [5^(1/3)]^3 must equal 5."
N.RN.2,Math,9-12,N,RN,Extend the properties of exponents to rational exponents.,2,,Number and Quantity,The Real Number System,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
N.RN.3,Math,9-12,N,RN,Use properties of rational and irrational numbers.,3,,Number and Quantity,The Real Number System,Explain why the sum or product of rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.
N.Q.1,Math,9-12,N,Q,Reason quantitatively and use units to solve problems.,1,,Number and Quantity,Quantities,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.*
N.Q.2,Math,9-12,N,Q,Reason quantitatively and use units to solve problems.,2,,Number and Quantity,Quantities,Define appropriate quantities for the purpose of descriptive modeling.*
N.Q.3,Math,9-12,N,Q,Reason quantitatively and use units to solve problems.,3,,Number and Quantity,Quantities,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.*
N.CN.1,Math,9-12,N,CN,Perform arithmetic operations with complex numbers.,1,,Number and Quantity,The Complex Number System,"Know there is a complex number i such that i^2 = ?1, and every complex number has the form a + bi with a and b real."
N.CN.2,Math,9-12,N,CN,Perform arithmetic operations with complex numbers.,2,,Number and Quantity,The Complex Number System,"Use the relation i^2 = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers."
N.CN.3,Math,9-12,N,CN,Perform arithmetic operations with complex numbers.,3,,Number and Quantity,The Complex Number System,Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers
N.CN.4,Math,9-12,N,CN,Represent complex numbers and their operations on the complex plane.,4,,Number and Quantity,The Complex Number System,"Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number"
N.CN.5,Math,9-12,N,CN,Represent complex numbers and their operations on the complex plane.,5,,Number and Quantity,The Complex Number System,"Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation. For example, (-1 + &radic;3i)^3 = 8 because (-1 + &radic;3i) has modulus 2 and argument 120&deg;"
N.CN.6,Math,9-12,N,CN,Represent complex numbers and their operations on the complex plane.,6,,Number and Quantity,The Complex Number System,"Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints"
N.CN.7,Math,9-12,N,CN,use complex numbers in polynomial identities and equations.,7,,Number and Quantity,The Complex Number System,Solve quadratic equations with real coefficients that have complex solutions.
N.CN.8,Math,9-12,N,CN,use complex numbers in polynomial identities and equations.,8,,Number and Quantity,The Complex Number System,"Extend polynomial identities to the complex numbers. For example, rewrite x^2 + 4 as (x + 2i)(x - 2i)"
N.CN.9,Math,9-12,N,CN,use complex numbers in polynomial identities and equations.,9,,Number and Quantity,The Complex Number System,Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials
N.VM.1,Math,9-12,N,VM,Represent and model with vector quantities.,1,,Number and Quantity,Vector and Matrix Quantities,"Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v(bold), |v|, ||v||, v(not bold))"
N.VM.2,Math,9-12,N,VM,Represent and model with vector quantities.,2,,Number and Quantity,Vector and Matrix Quantities,Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point
N.VM.3,Math,9-12,N,VM,Represent and model with vector quantities.,3,,Number and Quantity,Vector and Matrix Quantities,Solve problems involving velocity and other quantities that can be represented by vectors
