Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
K.CC.1,Math,K,CC,,Know number names and the count sequence.,1,,Counting and Cardinality,,Count to 100 by ones and by tens.
K.CC.2,Math,K,CC,,Know number names and the count sequence.,2,,Counting and Cardinality,,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).
K.CC.3,Math,K,CC,,Know number names and the count sequence.,3,,Counting and Cardinality,,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).
K.CC.4,Math,K,CC,,Count to tell the number of objects.,4,,Counting and Cardinality,,Understand the relationship between numbers and quantities; connect counting to cardinality.
K.CC.4a,Math,K,CC,,Count to tell the number of objects.,4,a,Counting and Cardinality,,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object."
K.CC.4b,Math,K,CC,,Count to tell the number of objects.,4,b,Counting and Cardinality,,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.
K.CC.4c,Math,K,CC,,Count to tell the number of objects.,4,c,Counting and Cardinality,,Understand that each successive number name refers to a quantity that is one larger.
K.CC.5,Math,K,CC,,Count to tell the number of objects.,5,,Counting and Cardinality,,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects."
K.CC.6,Math,K,CC,,Compare numbers.,6,,Counting and Cardinality,,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies. (Include groups with up to ten objects.)"
K.CC.7,Math,K,CC,,Compare numbers.,7,,Counting and Cardinality,,Compare two numbers between 1 and 10 presented as written numerals.
K.OA.1,Math,K,OA,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",1,,Operations and Algebraic Thinking,,"Represent addition and subtraction with objects, fingers, mental images, drawings (drawings need not show details, but should show the mathematics in the problem), sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations."
K.OA.2,Math,K,OA,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",2,,Operations and Algebraic Thinking,,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
K.OA.3,Math,K,OA,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",3,,Operations and Algebraic Thinking,,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."
K.OA.4,Math,K,OA,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",4,,Operations and Algebraic Thinking,,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
K.OA.5,Math,K,OA,,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",5,,Operations and Algebraic Thinking,,Fluently add and subtract within 5.
K.NBT.1,Math,K,NBT,,Work with numbers 11-19 to gain foundations for place value.,1,,Number and Operations in Base Ten,,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."
K.MD.1,Math,K,MD,,Describe and compare measurable attributes.,1,,Measurement and Data,,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
K.MD.2,Math,K,MD,,Describe and compare measurable attributes.,2,,Measurement and Data,,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."
K.MD.3,Math,K,MD,,Classify objects and count the number of objects in each category.,3,,Measurement and Data,,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count. (Limit category counts to be less than or equal to 10.)
K.G.1,Math,K,G,,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",1,,Geometry,,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to."
K.G.2,Math,K,G,,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",2,,Geometry,,Correctly name shapes regardless of their orientations or overall size.
K.G.3,Math,K,G,,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",3,,Geometry,,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"")."
K.G.4,Math,K,G,,"Analyze, compare, create, and compose shapes.",4,,Geometry,,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length)."
K.G.5,Math,K,G,,"Analyze, compare, create, and compose shapes.",5,,Geometry,,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."
K.G.6,Math,K,G,,"Analyze, compare, create, and compose shapes.",6,,Geometry,,"Compose simple shapes to form larger shapes. For example, ""can you join these two triangles with full sides touching to make a rectangle?"""
